attendance,study_hours,test_score,assignment_score,label
22.6,16.8,18.6,32.9,Average
59.9,5.9,23.8,22.2,Weak
19.8,21.3,58.0,94.9,Average
70.5,8.7,16.1,46.2,Average
35.3,21.3,14.8,30.2,Average
69.3,7.5,10.0,86.2,Average
75.4,14.8,49.3,45.9,Average
79.2,9.9,79.7,13.2,Average
19.7,6.9,13.1,24.6,Weak
92.4,22.2,68.7,67.5,Strong
30.7,4.7,84.1,80.5,Average
13.4,2.1,25.1,29.0,Weak
59.9,8.5,23.2,92.6,Average
43.4,17.9,87.5,86.6,Strong
84.7,20.2,84.1,86.4,Strong
82.7,25.0,58.5,30.5,Average
38.5,7.4,83.7,14.5,Average
95.8,10.2,18.3,88.1,Average
36.2,3.4,45.5,37.5,Weak
56.4,14.4,76.4,65.7,Average
33.0,24.9,33.2,78.4,Average
94.2,17.5,77.7,21.5,Strong
24.8,14.9,55.4,80.3,Average
14.0,9.8,77.5,94.5,Average
49.2,22.9,51.8,75.6,Average
99.3,12.4,43.1,49.7,Average
90.3,3.4,29.7,88.9,Average
77.4,9.1,28.8,57.5,Average
90.2,1.7,77.6,77.0,Average
90.4,5.0,20.7,83.8,Average
56.7,0.4,17.7,77.4,Weak
38.4,11.3,25.9,35.9,Average
79.5,15.9,25.8,20.6,Average
69.5,8.6,84.1,31.5,Average
43.6,10.5,45.9,55.3,Average
18.5,24.0,99.1,55.5,Average
77.2,18.8,22.3,62.4,Average
33.6,13.5,68.8,45.6,Average
94.3,7.1,50.4,80.8,Average
31.7,22.4,45.4,92.2,Average
21.0,5.9,88.8,32.2,Average
84.8,8.1,97.8,76.3,Strong
23.8,22.7,88.6,71.0,Average
26.1,13.2,27.3,57.1,Average
63.9,18.6,29.9,27.0,Average
88.7,14.8,69.0,81.6,Strong
27.7,16.3,36.0,96.5,Average
37.9,7.5,76.1,75.0,Average
80.0,6.0,61.0,92.6,Average
97.5,8.1,59.6,98.6,Average
55.1,3.9,84.6,41.7,Average
23.0,21.9,73.9,67.4,Average
11.3,7.1,12.4,52.7,Weak
30.7,14.0,14.5,98.8,Average
21.9,19.8,64.1,18.4,Average
71.0,19.6,53.8,47.1,Average
21.0,11.0,33.4,88.8,Average
55.6,11.9,47.7,35.6,Average
72.5,24.9,78.2,80.9,Strong
62.3,16.9,84.4,44.5,Strong
28.0,20.4,60.5,98.2,Average
82.4,22.6,44.7,89.5,Strong
74.4,19.7,34.4,37.1,Average
76.5,4.6,57.0,79.3,Average
21.8,14.1,38.3,40.3,Average
21.1,2.5,60.8,64.6,Weak
93.5,16.3,70.9,69.3,Strong
45.8,23.9,15.9,84.7,Average
37.1,12.8,10.1,12.2,Weak
54.0,10.8,29.1,29.8,Average
69.7,0.9,90.5,74.1,Average
96.0,24.0,68.2,60.7,Strong
35.8,2.6,25.5,54.6,Weak
93.2,1.0,90.1,15.0,Average
12.2,6.2,52.3,41.3,Weak
60.0,1.6,52.8,87.9,Average
67.1,11.4,94.2,12.8,Average
19.5,12.9,15.4,45.7,Weak
22.6,7.8,29.4,95.1,Average
47.7,1.3,62.7,14.6,Weak
97.0,2.8,27.6,77.5,Average
63.6,9.6,71.2,33.2,Average
94.0,1.5,29.3,88.0,Average
82.4,17.5,18.9,77.1,Average
52.1,5.2,28.6,89.7,Average
80.6,7.6,48.0,29.4,Average
11.6,9.9,25.9,57.8,Weak
19.8,10.4,22.1,80.1,Average
84.6,0.0,87.4,32.1,Average
81.7,2.8,38.8,30.8,Average
30.9,21.6,42.5,12.4,Average
57.8,0.0,15.0,96.3,Weak
64.5,12.7,42.2,73.9,Average
88.1,12.2,33.8,67.2,Average
64.3,8.3,64.9,77.0,Average
47.1,10.8,28.5,57.8,Average
43.7,19.5,90.0,52.9,Average
48.3,21.0,93.7,50.5,Strong
68.7,6.5,19.0,67.6,Average
88.1,8.1,19.7,28.1,Average
50.9,6.1,20.4,89.9,Average
32.3,12.0,65.8,83.1,Average
31.3,17.1,21.0,41.5,Average
77.1,5.7,86.7,62.1,Average
83.5,8.3,77.9,22.7,Average
19.5,23.3,83.8,97.5,Average
16.0,1.2,57.3,91.3,Weak
63.5,11.5,99.7,93.0,Strong
23.2,17.8,14.0,39.9,Average
84.2,3.8,46.1,25.2,Average
37.9,1.2,39.2,29.1,Weak
22.9,3.5,95.4,18.1,Average
92.9,23.0,61.9,20.8,Average
24.9,0.2,82.6,16.4,Weak
35.6,4.7,25.3,99.1,Average
23.8,0.8,98.1,16.7,Average
20.4,2.8,54.9,21.9,Weak
11.9,15.5,54.4,84.5,Average
15.0,6.0,97.4,62.2,Average
25.7,14.2,44.3,79.7,Average
14.8,14.8,45.8,66.8,Average
63.2,21.2,62.6,89.4,Strong
71.3,0.1,21.5,67.5,Weak
45.4,21.3,38.9,57.0,Average
38.6,15.5,27.4,74.1,Average
55.4,4.1,19.3,50.3,Weak
88.8,19.3,88.0,41.1,Strong
86.6,21.4,63.0,52.1,Strong
13.9,6.4,42.3,25.3,Weak
26.3,23.0,46.8,81.7,Average
31.3,11.4,48.8,33.5,Average
32.4,15.1,67.0,23.8,Average
61.4,24.6,93.4,32.2,Strong
47.5,9.0,94.0,85.8,Average
14.4,20.3,45.2,39.7,Average
43.6,8.0,39.6,71.7,Average
57.1,20.0,50.6,87.1,Average
19.2,15.0,61.1,17.0,Average
85.0,5.4,51.6,78.9,Average
14.7,10.4,69.3,37.7,Average
93.2,7.9,59.9,29.5,Average
18.9,2.0,38.9,72.0,Weak
85.9,0.7,41.1,91.9,Average
91.2,8.7,44.1,36.6,Average
98.2,0.5,18.5,61.2,Average
82.2,4.1,24.9,36.1,Average
80.2,18.1,75.1,59.9,Strong
67.8,17.7,45.0,66.0,Average
80.1,18.5,29.3,64.9,Average
22.1,7.9,60.6,66.1,Average
58.2,22.3,78.0,22.2,Average
56.3,14.8,33.2,72.4,Average
87.2,3.2,84.4,70.7,Average
51.7,3.6,93.5,71.4,Average
44.7,17.3,63.8,16.7,Average
67.6,4.3,70.2,50.2,Average
34.0,12.7,14.7,46.8,Average
22.6,24.8,95.1,17.8,Average
53.0,0.1,45.3,30.0,Weak
47.5,0.4,93.2,49.7,Average
30.9,24.8,62.1,76.9,Average
43.1,14.6,10.4,31.3,Average
43.0,3.2,13.5,84.7,Weak
39.5,22.4,71.2,59.1,Average
44.2,22.0,60.6,78.4,Average
71.7,13.4,12.4,52.5,Average
36.7,15.5,76.9,54.9,Average
95.4,6.8,86.7,65.8,Average
92.5,1.3,54.7,93.5,Average
53.3,14.9,51.9,54.3,Average
39.6,7.4,10.5,57.6,Weak
58.2,16.6,80.8,64.2,Strong
86.4,20.9,39.8,76.4,Average
68.7,0.5,89.1,16.5,Average
82.4,14.9,43.6,56.4,Average
57.9,5.8,60.9,53.3,Average
67.0,21.8,34.3,93.0,Average
35.9,6.3,24.5,54.4,Weak
76.1,15.3,79.7,52.1,Strong
28.2,13.8,54.7,96.6,Average
72.5,9.9,58.3,50.6,Average
87.5,16.9,96.9,26.3,Strong
21.9,18.1,96.7,29.5,Average
65.3,14.2,87.0,18.6,Average
18.6,19.0,26.9,10.1,Average
75.3,24.6,63.5,48.9,Average
17.6,10.5,89.0,79.2,Average
94.2,12.9,43.7,76.0,Average
22.4,0.3,19.1,12.9,Weak
96.3,19.9,83.0,61.3,Strong
82.1,13.0,53.4,23.9,Average
63.4,10.2,60.8,94.7,Average
80.4,2.4,98.4,25.1,Average
81.6,22.2,64.6,66.4,Strong
95.1,9.9,48.2,39.4,Average
32.8,17.1,43.3,67.7,Average
63.1,3.7,47.6,47.1,Average
18.6,24.0,20.7,78.4,Average
65.5,4.5,81.5,30.8,Average
25.4,5.0,85.4,91.5,Average
60.8,21.5,35.6,55.0,Average
61.5,22.8,37.3,78.0,Average
51.9,5.3,88.7,86.5,Average
57.0,11.7,12.2,99.9,Average
78.8,18.3,56.8,30.2,Average
81.9,22.0,51.7,35.8,Average
54.3,9.5,72.1,32.5,Average
64.0,12.9,24.7,33.7,Average
93.8,18.5,70.1,62.4,Strong
20.8,18.3,43.9,99.4,Average
20.5,19.6,65.7,99.1,Average
17.9,14.2,13.6,57.4,Weak
69.2,2.6,51.6,67.5,Average
47.7,22.6,57.0,87.4,Average
79.7,21.6,29.3,94.0,Average
70.4,20.0,22.6,28.3,Average
40.0,2.5,27.0,57.6,Weak
90.9,5.1,41.0,85.0,Average
78.6,18.6,18.7,37.3,Average
34.3,0.6,95.3,49.6,Average
42.8,24.5,46.4,98.7,Average
38.3,9.4,82.8,98.7,Average
24.2,18.0,97.7,91.5,Strong
23.3,22.2,17.3,81.9,Average
94.3,9.9,68.7,34.2,Average
49.4,8.0,88.4,38.9,Average
44.5,15.2,67.1,59.3,Average
75.7,14.5,48.6,60.5,Average
59.8,10.2,48.8,55.5,Average
94.3,15.0,13.2,67.3,Average
80.2,23.4,58.1,46.7,Average
53.1,11.7,99.4,77.4,Average
43.9,4.9,96.3,40.0,Average
98.8,9.4,13.6,39.8,Average
74.6,9.9,73.5,21.5,Average
95.6,3.3,37.2,27.0,Average
20.7,4.1,91.3,86.5,Average
86.5,17.1,14.1,50.2,Average
67.3,8.5,94.2,30.5,Average
21.0,23.9,85.4,78.3,Average
62.9,6.1,20.6,59.9,Average
71.7,2.5,15.4,11.9,Weak
11.1,18.8,85.1,38.5,Average
50.9,22.0,24.0,25.9,Average
84.3,7.0,58.1,69.0,Average
36.6,5.1,92.4,34.8,Average
51.3,4.6,61.1,15.8,Average
49.8,13.1,45.8,14.9,Average
37.2,11.7,50.1,62.4,Average
92.7,6.5,15.7,12.0,Average
80.3,1.1,97.2,86.4,Average
20.0,12.0,38.0,24.0,Weak
99.7,24.0,27.0,64.6,Average
89.1,16.3,35.7,50.0,Average
35.6,12.4,96.8,49.9,Average
85.3,2.8,18.5,16.5,Weak
19.6,6.3,88.1,82.2,Average
99.9,7.4,73.7,90.4,Strong
69.9,19.1,84.7,11.0,Average
68.5,21.9,97.8,26.1,Strong
18.1,22.5,85.8,91.4,Average
90.7,24.6,94.9,59.5,Strong
12.6,24.6,21.4,23.5,Weak
31.7,23.8,81.6,28.3,Average
22.9,1.8,59.1,69.4,Weak
79.9,3.4,58.9,75.2,Average
27.8,7.6,90.9,63.9,Average
92.0,13.8,97.5,95.8,Strong
69.1,2.4,73.4,54.5,Average
13.3,21.1,53.5,37.0,Average
10.5,15.4,51.1,53.0,Average
14.6,13.6,44.8,42.4,Average
64.5,4.1,42.5,30.2,Average
82.1,6.3,45.2,14.1,Average
31.5,4.0,18.1,41.7,Weak
86.4,21.3,17.0,74.0,Average
15.2,14.6,80.2,11.7,Average
82.1,18.4,50.1,49.5,Average
93.5,7.4,93.8,68.0,Strong
79.5,9.3,65.1,64.9,Average
72.8,10.1,13.2,79.9,Average
85.4,19.0,24.2,82.9,Average
13.6,19.3,28.5,74.1,Average
28.2,5.2,97.8,19.3,Average
21.2,23.5,29.7,52.8,Average
55.4,3.0,56.4,64.3,Average
77.1,22.4,94.3,32.1,Strong
66.7,2.5,97.9,13.8,Average
86.6,6.6,31.3,30.1,Average
24.0,21.2,14.4,50.9,Average
76.1,4.5,23.8,47.3,Average
27.4,10.3,15.7,25.9,Weak
34.4,11.2,27.6,84.2,Average
73.9,6.1,61.2,93.3,Average
98.2,17.8,92.1,28.1,Strong
65.0,21.3,58.3,93.7,Strong
14.9,21.9,66.3,11.6,Average
65.5,8.5,28.2,93.2,Average
13.8,13.3,82.1,95.7,Average
89.6,6.2,65.6,11.1,Average
73.9,6.1,87.8,78.7,Average
25.6,4.0,95.4,97.3,Average
18.3,23.5,41.3,91.5,Average
26.5,22.2,18.2,97.4,Average
98.2,19.4,30.3,59.5,Average
51.3,12.9,49.4,17.0,Average
80.6,12.3,95.1,86.5,Strong
67.3,13.2,44.0,65.2,Average
61.5,13.4,79.4,65.3,Average
23.1,10.9,58.6,47.6,Average
95.1,3.3,26.5,61.5,Average
37.1,3.1,38.9,23.8,Weak
62.0,23.8,68.8,76.6,Strong
73.0,12.1,70.6,16.8,Average
68.4,23.8,49.1,75.7,Average
94.7,4.1,30.6,86.4,Average
23.4,13.9,75.0,52.5,Average
55.8,5.2,25.2,55.9,Average
46.4,6.3,94.3,38.1,Average
52.7,0.8,26.9,97.3,Weak
20.7,3.0,19.7,76.0,Weak
22.1,22.9,54.8,43.2,Average
35.0,8.0,56.8,25.7,Average
37.4,15.2,55.7,29.8,Average
48.5,11.6,49.3,51.8,Average
65.0,10.0,99.5,94.8,Strong
67.1,13.3,53.8,76.1,Average
47.1,4.7,53.0,29.4,Average
46.8,24.7,48.0,87.4,Average
29.6,20.5,16.0,44.0,Average
62.9,18.5,63.4,86.7,Strong
38.5,11.7,30.5,31.8,Average
13.2,3.8,67.4,65.7,Weak
47.7,23.0,14.6,93.4,Average
52.7,8.5,98.3,33.2,Average
30.3,1.3,52.2,72.4,Weak
61.5,8.6,90.7,98.9,Average
60.9,19.9,52.8,23.6,Average
73.2,15.6,15.4,18.0,Average
68.3,18.8,84.0,70.7,Strong
68.7,19.8,68.3,40.6,Average
38.5,5.3,80.4,16.4,Average
80.9,23.1,48.5,52.8,Average
59.4,10.9,67.4,77.8,Average
48.8,16.0,87.1,35.7,Average
66.3,0.1,66.8,40.2,Average
42.5,24.8,41.3,86.1,Average
56.1,7.0,69.6,56.8,Average
