attendance,test_score,assignment_submitted,label,name,batch,prediction_result,confidence,risk_percentage,performance_score,probabilities,score_breakdown,strengths,weaknesses,suggestions,category
12.1,38.6,4.7,Weak,Unknown,Unknown,Weak,98.1,98.1,29.68,"{'Weak': 98.1, 'Average': 1.9, 'Strong': 0.0}","{'attendance_contribution': 4.84, 'test_score_contribution': 15.44, 'assignment_submitted_contribution': 9.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (4/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
59.9,23.8,2.2,Weak,Unknown,Unknown,Weak,95.9,95.9,37.88,"{'Weak': 95.9, 'Average': 4.1, 'Strong': 0.0}","{'attendance_contribution': 23.96, 'test_score_contribution': 9.52, 'assignment_submitted_contribution': 4.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
19.7,13.1,2.5,Weak,Unknown,Unknown,Weak,100.0,100.0,18.12,"{'Weak': 100.0, 'Average': 0.0, 'Strong': 0.0}","{'attendance_contribution': 7.88, 'test_score_contribution': 5.24, 'assignment_submitted_contribution': 5.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
13.4,25.1,2.9,Weak,Unknown,Unknown,Weak,98.2,98.2,21.2,"{'Weak': 98.2, 'Average': 1.8, 'Strong': 0.0}","{'attendance_contribution': 5.36, 'test_score_contribution': 10.04, 'assignment_submitted_contribution': 5.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
36.2,45.5,3.8,Weak,Unknown,Unknown,Weak,96.3,96.3,40.28,"{'Weak': 96.3, 'Average': 3.6, 'Strong': 0.0}","{'attendance_contribution': 14.48, 'test_score_contribution': 18.2, 'assignment_submitted_contribution': 7.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
56.7,17.7,7.7,Weak,Unknown,Unknown,Weak,95.9,95.9,45.16,"{'Weak': 95.9, 'Average': 4.1, 'Strong': 0.0}","{'attendance_contribution': 22.68, 'test_score_contribution': 7.08, 'assignment_submitted_contribution': 15.4}",['Good assignment submission rate (7/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Weak
11.3,12.4,5.3,Weak,Unknown,Unknown,Weak,99.9,99.9,20.08,"{'Weak': 99.9, 'Average': 0.1, 'Strong': 0.0}","{'attendance_contribution': 4.52, 'test_score_contribution': 4.96, 'assignment_submitted_contribution': 10.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
21.1,60.8,6.5,Weak,Unknown,Unknown,Weak,91.5,91.5,45.76,"{'Weak': 91.5, 'Average': 8.5, 'Strong': 0.0}","{'attendance_contribution': 8.44, 'test_score_contribution': 24.32, 'assignment_submitted_contribution': 13.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Moderate assignment submissions (6/10) — room to improve.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
37.1,10.1,1.2,Weak,Unknown,Unknown,Weak,99.8,99.8,21.28,"{'Weak': 99.8, 'Average': 0.2, 'Strong': 0.0}","{'attendance_contribution': 14.84, 'test_score_contribution': 4.04, 'assignment_submitted_contribution': 2.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (1/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
35.8,25.5,5.5,Weak,Unknown,Unknown,Weak,95.9,95.9,35.52,"{'Weak': 95.9, 'Average': 4.1, 'Strong': 0.0}","{'attendance_contribution': 14.32, 'test_score_contribution': 10.2, 'assignment_submitted_contribution': 11.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
12.2,52.3,4.1,Weak,Unknown,Unknown,Weak,97.2,97.2,34.0,"{'Weak': 97.2, 'Average': 2.8, 'Strong': 0.0}","{'attendance_contribution': 4.88, 'test_score_contribution': 20.92, 'assignment_submitted_contribution': 8.2}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Low assignment submissions (4/10) — impacting overall score.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Prioritise assignments; create a submission schedule with deadlines.']",Weak
19.5,15.4,4.6,Weak,Unknown,Unknown,Weak,97.4,97.4,23.16,"{'Weak': 97.4, 'Average': 2.6, 'Strong': 0.0}","{'attendance_contribution': 7.8, 'test_score_contribution': 6.16, 'assignment_submitted_contribution': 9.2}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (4/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
47.7,62.7,1.5,Weak,Unknown,Unknown,Weak,93.6,93.6,47.16,"{'Weak': 93.6, 'Average': 6.3, 'Strong': 0.0}","{'attendance_contribution': 19.08, 'test_score_contribution': 25.08, 'assignment_submitted_contribution': 3.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Very few assignments submitted (1/10) — critical gap.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
11.6,25.9,5.8,Weak,Unknown,Unknown,Weak,99.7,99.7,26.6,"{'Weak': 99.7, 'Average': 0.3, 'Strong': 0.0}","{'attendance_contribution': 4.64, 'test_score_contribution': 10.36, 'assignment_submitted_contribution': 11.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
57.8,15.0,9.6,Weak,Unknown,Unknown,Weak,95.2,95.2,48.32,"{'Weak': 95.2, 'Average': 4.7, 'Strong': 0.1}","{'attendance_contribution': 23.12, 'test_score_contribution': 6.0, 'assignment_submitted_contribution': 19.2}",['Excellent assignment submission (9/10) — highly disciplined.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Weak
16.0,57.3,9.1,Weak,Unknown,Unknown,Weak,93.0,93.0,47.52,"{'Weak': 93.0, 'Average': 6.8, 'Strong': 0.2}","{'attendance_contribution': 6.4, 'test_score_contribution': 22.92, 'assignment_submitted_contribution': 18.2}",['Excellent assignment submission (9/10) — highly disciplined.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.']",Weak
37.9,39.2,2.9,Weak,Unknown,Unknown,Weak,92.8,92.8,36.64,"{'Weak': 92.8, 'Average': 7.1, 'Strong': 0.0}","{'attendance_contribution': 15.16, 'test_score_contribution': 15.68, 'assignment_submitted_contribution': 5.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
24.9,82.6,1.6,Weak,Unknown,Unknown,Weak,96.4,96.4,46.2,"{'Weak': 96.4, 'Average': 3.6, 'Strong': 0.0}","{'attendance_contribution': 9.96, 'test_score_contribution': 33.04, 'assignment_submitted_contribution': 3.2}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (1/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
20.4,54.9,2.2,Weak,Unknown,Unknown,Weak,96.2,96.2,34.52,"{'Weak': 96.2, 'Average': 3.8, 'Strong': 0.0}","{'attendance_contribution': 8.16, 'test_score_contribution': 21.96, 'assignment_submitted_contribution': 4.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
71.3,21.5,6.8,Weak,Unknown,Unknown,Weak,91.9,91.9,50.72,"{'Weak': 91.9, 'Average': 8.1, 'Strong': 0.1}","{'attendance_contribution': 28.52, 'test_score_contribution': 8.6, 'assignment_submitted_contribution': 13.6}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (6/10) — room to improve.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
55.4,19.3,5.0,Weak,Unknown,Unknown,Weak,94.4,94.4,39.88,"{'Weak': 94.4, 'Average': 5.6, 'Strong': 0.0}","{'attendance_contribution': 22.16, 'test_score_contribution': 7.72, 'assignment_submitted_contribution': 10.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
13.9,42.3,2.5,Weak,Unknown,Unknown,Weak,98.3,98.3,27.48,"{'Weak': 98.3, 'Average': 1.7, 'Strong': 0.0}","{'attendance_contribution': 5.56, 'test_score_contribution': 16.92, 'assignment_submitted_contribution': 5.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
18.9,38.9,7.2,Weak,Unknown,Unknown,Weak,92.8,92.8,37.52,"{'Weak': 92.8, 'Average': 7.1, 'Strong': 0.0}","{'attendance_contribution': 7.56, 'test_score_contribution': 15.56, 'assignment_submitted_contribution': 14.4}",['Good assignment submission rate (7/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Weak
53.0,45.3,3.0,Weak,Unknown,Unknown,Weak,92.8,92.8,45.32,"{'Weak': 92.8, 'Average': 7.2, 'Strong': 0.0}","{'attendance_contribution': 21.2, 'test_score_contribution': 18.12, 'assignment_submitted_contribution': 6.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
43.0,13.5,8.5,Weak,Unknown,Unknown,Weak,96.2,96.2,39.6,"{'Weak': 96.2, 'Average': 3.8, 'Strong': 0.0}","{'attendance_contribution': 17.2, 'test_score_contribution': 5.4, 'assignment_submitted_contribution': 17.0}",['Good assignment submission rate (8/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Weak
39.6,10.5,5.8,Weak,Unknown,Unknown,Weak,97.4,97.4,31.64,"{'Weak': 97.4, 'Average': 2.6, 'Strong': 0.0}","{'attendance_contribution': 15.84, 'test_score_contribution': 4.2, 'assignment_submitted_contribution': 11.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
35.9,24.5,5.4,Weak,Unknown,Unknown,Weak,96.7,96.7,34.96,"{'Weak': 96.7, 'Average': 3.3, 'Strong': 0.0}","{'attendance_contribution': 14.36, 'test_score_contribution': 9.8, 'assignment_submitted_contribution': 10.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
22.4,19.1,1.3,Weak,Unknown,Unknown,Weak,99.3,99.3,19.2,"{'Weak': 99.3, 'Average': 0.7, 'Strong': 0.0}","{'attendance_contribution': 8.96, 'test_score_contribution': 7.64, 'assignment_submitted_contribution': 2.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (1/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
17.9,13.6,5.7,Weak,Unknown,Unknown,Weak,99.3,99.3,24.0,"{'Weak': 99.3, 'Average': 0.6, 'Strong': 0.0}","{'attendance_contribution': 7.16, 'test_score_contribution': 5.44, 'assignment_submitted_contribution': 11.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
40.0,27.0,5.8,Weak,Unknown,Unknown,Weak,95.7,95.7,38.4,"{'Weak': 95.7, 'Average': 4.3, 'Strong': 0.0}","{'attendance_contribution': 16.0, 'test_score_contribution': 10.8, 'assignment_submitted_contribution': 11.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
71.7,15.4,1.2,Weak,Unknown,Unknown,Weak,97.0,97.0,37.24,"{'Weak': 97.0, 'Average': 3.0, 'Strong': 0.0}","{'attendance_contribution': 28.68, 'test_score_contribution': 6.16, 'assignment_submitted_contribution': 2.4}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (1/10) — critical gap.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
20.0,38.0,2.4,Weak,Unknown,Unknown,Weak,99.6,99.6,28.0,"{'Weak': 99.6, 'Average': 0.4, 'Strong': 0.0}","{'attendance_contribution': 8.0, 'test_score_contribution': 15.2, 'assignment_submitted_contribution': 4.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
85.3,18.5,1.6,Weak,Unknown,Unknown,Weak,96.9,96.9,44.72,"{'Weak': 96.9, 'Average': 3.1, 'Strong': 0.0}","{'attendance_contribution': 34.12, 'test_score_contribution': 7.4, 'assignment_submitted_contribution': 3.2}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (1/10) — critical gap.']","['Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
12.6,21.4,2.4,Weak,Unknown,Unknown,Weak,100.0,100.0,18.4,"{'Weak': 100.0, 'Average': 0.0, 'Strong': 0.0}","{'attendance_contribution': 5.04, 'test_score_contribution': 8.56, 'assignment_submitted_contribution': 4.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
22.9,59.1,6.9,Weak,Unknown,Unknown,Weak,94.9,94.9,46.6,"{'Weak': 94.9, 'Average': 5.1, 'Strong': 0.0}","{'attendance_contribution': 9.16, 'test_score_contribution': 23.64, 'assignment_submitted_contribution': 13.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Moderate assignment submissions (6/10) — room to improve.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
31.5,18.1,4.2,Weak,Unknown,Unknown,Weak,92.9,92.9,28.24,"{'Weak': 92.9, 'Average': 7.1, 'Strong': 0.0}","{'attendance_contribution': 12.6, 'test_score_contribution': 7.24, 'assignment_submitted_contribution': 8.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (4/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
