attendance,test_score,assignment_submitted,label,name,batch,prediction_result,confidence,risk_percentage,performance_score,probabilities,score_breakdown,strengths,weaknesses,suggestions,category
90.7,89.1,3.5,Strong,Unknown,Unknown,Strong,99.0,0.0,78.92,"{'Weak': 0.0, 'Average': 1.0, 'Strong': 99.0}","{'attendance_contribution': 36.28, 'test_score_contribution': 35.64, 'assignment_submitted_contribution': 7.0}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Low assignment submissions (3/10) — impacting overall score.'],['Prioritise assignments; create a submission schedule with deadlines.'],Strong
92.4,68.7,6.8,Strong,Unknown,Unknown,Strong,97.6,0.0,78.04,"{'Weak': 0.0, 'Average': 2.4, 'Strong': 97.6}","{'attendance_contribution': 36.96, 'test_score_contribution': 27.48, 'assignment_submitted_contribution': 13.6}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
43.4,87.5,8.7,Strong,Unknown,Unknown,Strong,97.2,0.0,69.76,"{'Weak': 0.0, 'Average': 2.8, 'Strong': 97.2}","{'attendance_contribution': 17.36, 'test_score_contribution': 35.0, 'assignment_submitted_contribution': 17.4}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (8/10).']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Strong
84.7,84.1,8.6,Strong,Unknown,Unknown,Strong,97.7,0.0,84.72,"{'Weak': 0.0, 'Average': 2.3, 'Strong': 97.7}","{'attendance_contribution': 33.88, 'test_score_contribution': 33.64, 'assignment_submitted_contribution': 17.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (8/10).']",[],['Performing well across all areas — maintain consistency!'],Strong
94.2,77.7,2.2,Strong,Unknown,Unknown,Strong,96.9,0.1,73.16,"{'Weak': 0.1, 'Average': 3.1, 'Strong': 96.9}","{'attendance_contribution': 37.68, 'test_score_contribution': 31.08, 'assignment_submitted_contribution': 4.4}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).']",['Very few assignments submitted (2/10) — critical gap.'],['Submit assignments immediately; this severely affects your overall performance.'],Strong
84.8,97.8,7.6,Strong,Unknown,Unknown,Strong,99.3,0.0,88.24,"{'Weak': 0.0, 'Average': 0.6, 'Strong': 99.3}","{'attendance_contribution': 33.92, 'test_score_contribution': 39.12, 'assignment_submitted_contribution': 15.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",[],['Performing well across all areas — maintain consistency!'],Strong
88.7,69.0,8.2,Strong,Unknown,Unknown,Strong,98.7,0.0,79.48,"{'Weak': 0.0, 'Average': 1.3, 'Strong': 98.7}","{'attendance_contribution': 35.48, 'test_score_contribution': 27.6, 'assignment_submitted_contribution': 16.4}","['Good attendance (75-89%) — keep it consistent.', 'Above-average test performance (65-79).', 'Good assignment submission rate (8/10).']",[],['Performing well across all areas — maintain consistency!'],Strong
72.5,78.2,8.1,Strong,Unknown,Unknown,Strong,95.1,0.0,76.48,"{'Weak': 0.0, 'Average': 4.9, 'Strong': 95.1}","{'attendance_contribution': 29.0, 'test_score_contribution': 31.28, 'assignment_submitted_contribution': 16.2}","['Above-average test performance (65-79).', 'Good assignment submission rate (8/10).']",['Below-target attendance (60-74%).'],['Aim for >=75% attendance to stay on track.'],Strong
62.3,84.4,4.4,Strong,Unknown,Unknown,Strong,95.1,0.0,67.48,"{'Weak': 0.0, 'Average': 4.9, 'Strong': 95.1}","{'attendance_contribution': 24.92, 'test_score_contribution': 33.76, 'assignment_submitted_contribution': 8.8}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Below-target attendance (60-74%).', 'Low assignment submissions (4/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
82.4,44.7,9.0,Strong,Unknown,Unknown,Strong,94.0,0.0,68.84,"{'Weak': 0.0, 'Average': 6.0, 'Strong': 94.0}","{'attendance_contribution': 32.96, 'test_score_contribution': 17.88, 'assignment_submitted_contribution': 18.0}","['Good attendance (75-89%) — keep it consistent.', 'Excellent assignment submission (9/10) — highly disciplined.']",['Low test score (<50) — significant knowledge gaps.'],['Revisit core concepts; consider seeking tutoring support.'],Strong
93.5,70.9,6.9,Strong,Unknown,Unknown,Strong,98.8,0.0,79.56,"{'Weak': 0.0, 'Average': 1.2, 'Strong': 98.8}","{'attendance_contribution': 37.4, 'test_score_contribution': 28.36, 'assignment_submitted_contribution': 13.8}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
96.0,68.2,6.1,Strong,Unknown,Unknown,Strong,99.4,0.0,77.88,"{'Weak': 0.0, 'Average': 0.6, 'Strong': 99.4}","{'attendance_contribution': 38.4, 'test_score_contribution': 27.28, 'assignment_submitted_contribution': 12.2}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
48.3,93.7,5.0,Strong,Unknown,Unknown,Strong,93.9,0.0,66.8,"{'Weak': 0.0, 'Average': 6.1, 'Strong': 93.9}","{'attendance_contribution': 19.32, 'test_score_contribution': 37.48, 'assignment_submitted_contribution': 10.0}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Submit all remaining assignments; aim for >=8/10.']",Strong
63.5,99.7,9.3,Strong,Unknown,Unknown,Strong,99.0,0.0,83.88,"{'Weak': 0.0, 'Average': 1.0, 'Strong': 99.0}","{'attendance_contribution': 25.4, 'test_score_contribution': 39.88, 'assignment_submitted_contribution': 18.6}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",['Below-target attendance (60-74%).'],['Aim for >=75% attendance to stay on track.'],Strong
63.2,62.6,8.9,Strong,Unknown,Unknown,Strong,97.8,0.0,68.12,"{'Weak': 0.0, 'Average': 2.2, 'Strong': 97.8}","{'attendance_contribution': 25.28, 'test_score_contribution': 25.04, 'assignment_submitted_contribution': 17.8}",['Good assignment submission rate (8/10).'],"['Below-target attendance (60-74%).', 'Average test score (50-64) — needs improvement.']","['Aim for >=75% attendance to stay on track.', 'Practice past papers and revise weak topics regularly.']",Strong
88.8,88.0,4.1,Strong,Unknown,Unknown,Strong,97.0,0.0,78.92,"{'Weak': 0.0, 'Average': 3.0, 'Strong': 97.0}","{'attendance_contribution': 35.52, 'test_score_contribution': 35.2, 'assignment_submitted_contribution': 8.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Low assignment submissions (4/10) — impacting overall score.'],['Prioritise assignments; create a submission schedule with deadlines.'],Strong
86.6,63.0,5.2,Strong,Unknown,Unknown,Strong,96.1,0.0,70.24,"{'Weak': 0.0, 'Average': 3.9, 'Strong': 96.1}","{'attendance_contribution': 34.64, 'test_score_contribution': 25.2, 'assignment_submitted_contribution': 10.4}",['Good attendance (75-89%) — keep it consistent.'],"['Average test score (50-64) — needs improvement.', 'Moderate assignment submissions (5/10) — room to improve.']","['Practice past papers and revise weak topics regularly.', 'Submit all remaining assignments; aim for >=8/10.']",Strong
61.4,93.4,3.2,Strong,Unknown,Unknown,Strong,94.5,0.1,68.32,"{'Weak': 0.1, 'Average': 5.5, 'Strong': 94.5}","{'attendance_contribution': 24.56, 'test_score_contribution': 37.36, 'assignment_submitted_contribution': 6.4}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Below-target attendance (60-74%).', 'Low assignment submissions (3/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
80.2,75.1,6.0,Strong,Unknown,Unknown,Strong,93.8,0.0,74.12,"{'Weak': 0.0, 'Average': 6.2, 'Strong': 93.8}","{'attendance_contribution': 32.08, 'test_score_contribution': 30.04, 'assignment_submitted_contribution': 12.0}","['Good attendance (75-89%) — keep it consistent.', 'Above-average test performance (65-79).']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
58.2,80.8,6.4,Strong,Unknown,Unknown,Strong,94.3,0.0,68.4,"{'Weak': 0.0, 'Average': 5.7, 'Strong': 94.3}","{'attendance_contribution': 23.28, 'test_score_contribution': 32.32, 'assignment_submitted_contribution': 12.8}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Moderate assignment submissions (6/10) — room to improve.']","['Attend every possible session immediately.', 'Submit all remaining assignments; aim for >=8/10.']",Strong
76.1,79.7,5.2,Strong,Unknown,Unknown,Strong,95.1,0.0,72.72,"{'Weak': 0.0, 'Average': 4.8, 'Strong': 95.1}","{'attendance_contribution': 30.44, 'test_score_contribution': 31.88, 'assignment_submitted_contribution': 10.4}","['Good attendance (75-89%) — keep it consistent.', 'Above-average test performance (65-79).']",['Moderate assignment submissions (5/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
87.5,96.9,2.6,Strong,Unknown,Unknown,Strong,99.2,0.0,78.96,"{'Weak': 0.0, 'Average': 0.8, 'Strong': 99.2}","{'attendance_contribution': 35.0, 'test_score_contribution': 38.76, 'assignment_submitted_contribution': 5.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Very few assignments submitted (2/10) — critical gap.'],['Submit assignments immediately; this severely affects your overall performance.'],Strong
96.3,83.0,6.1,Strong,Unknown,Unknown,Strong,99.3,0.0,83.92,"{'Weak': 0.0, 'Average': 0.7, 'Strong': 99.3}","{'attendance_contribution': 38.52, 'test_score_contribution': 33.2, 'assignment_submitted_contribution': 12.2}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
81.6,64.6,6.6,Strong,Unknown,Unknown,Strong,94.1,0.0,71.68,"{'Weak': 0.0, 'Average': 5.9, 'Strong': 94.1}","{'attendance_contribution': 32.64, 'test_score_contribution': 25.84, 'assignment_submitted_contribution': 13.2}",['Good attendance (75-89%) — keep it consistent.'],"['Average test score (50-64) — needs improvement.', 'Moderate assignment submissions (6/10) — room to improve.']","['Practice past papers and revise weak topics regularly.', 'Submit all remaining assignments; aim for >=8/10.']",Strong
93.8,70.1,6.2,Strong,Unknown,Unknown,Strong,98.5,0.0,77.96,"{'Weak': 0.0, 'Average': 1.5, 'Strong': 98.5}","{'attendance_contribution': 37.52, 'test_score_contribution': 28.04, 'assignment_submitted_contribution': 12.4}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
24.2,97.7,9.2,Strong,Unknown,Unknown,Strong,97.8,0.0,67.16,"{'Weak': 0.0, 'Average': 2.1, 'Strong': 97.8}","{'attendance_contribution': 9.68, 'test_score_contribution': 39.08, 'assignment_submitted_contribution': 18.4}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Strong
99.9,73.7,9.0,Strong,Unknown,Unknown,Strong,99.9,0.0,87.44,"{'Weak': 0.0, 'Average': 0.0, 'Strong': 99.9}","{'attendance_contribution': 39.96, 'test_score_contribution': 29.48, 'assignment_submitted_contribution': 18.0}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).', 'Excellent assignment submission (9/10) — highly disciplined.']",[],['Performing well across all areas — maintain consistency!'],Strong
68.5,97.8,2.6,Strong,Unknown,Unknown,Strong,95.8,0.0,71.72,"{'Weak': 0.0, 'Average': 4.2, 'Strong': 95.8}","{'attendance_contribution': 27.4, 'test_score_contribution': 39.12, 'assignment_submitted_contribution': 5.2}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Below-target attendance (60-74%).', 'Very few assignments submitted (2/10) — critical gap.']","['Aim for >=75% attendance to stay on track.', 'Submit assignments immediately; this severely affects your overall performance.']",Strong
90.7,94.9,6.0,Strong,Unknown,Unknown,Strong,99.9,0.0,86.24,"{'Weak': 0.0, 'Average': 0.1, 'Strong': 99.9}","{'attendance_contribution': 36.28, 'test_score_contribution': 37.96, 'assignment_submitted_contribution': 12.0}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
92.0,97.5,9.6,Strong,Unknown,Unknown,Strong,99.8,0.0,95.0,"{'Weak': 0.0, 'Average': 0.2, 'Strong': 99.8}","{'attendance_contribution': 36.8, 'test_score_contribution': 39.0, 'assignment_submitted_contribution': 19.2}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",[],['Performing well across all areas — maintain consistency!'],Strong
93.5,93.8,6.8,Strong,Unknown,Unknown,Strong,99.8,0.0,88.52,"{'Weak': 0.0, 'Average': 0.2, 'Strong': 99.8}","{'attendance_contribution': 37.4, 'test_score_contribution': 37.52, 'assignment_submitted_contribution': 13.6}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Moderate assignment submissions (6/10) — room to improve.'],['Submit all remaining assignments; aim for >=8/10.'],Strong
77.1,94.3,3.2,Strong,Unknown,Unknown,Strong,96.9,0.0,74.96,"{'Weak': 0.0, 'Average': 3.0, 'Strong': 96.9}","{'attendance_contribution': 30.84, 'test_score_contribution': 37.72, 'assignment_submitted_contribution': 6.4}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Low assignment submissions (3/10) — impacting overall score.'],['Prioritise assignments; create a submission schedule with deadlines.'],Strong
98.2,92.1,2.8,Strong,Unknown,Unknown,Strong,99.5,0.0,81.72,"{'Weak': 0.0, 'Average': 0.5, 'Strong': 99.5}","{'attendance_contribution': 39.28, 'test_score_contribution': 36.84, 'assignment_submitted_contribution': 5.6}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Very few assignments submitted (2/10) — critical gap.'],['Submit assignments immediately; this severely affects your overall performance.'],Strong
65.0,58.3,9.4,Strong,Unknown,Unknown,Strong,92.5,0.0,68.12,"{'Weak': 0.0, 'Average': 7.5, 'Strong': 92.5}","{'attendance_contribution': 26.0, 'test_score_contribution': 23.32, 'assignment_submitted_contribution': 18.8}",['Excellent assignment submission (9/10) — highly disciplined.'],"['Below-target attendance (60-74%).', 'Average test score (50-64) — needs improvement.']","['Aim for >=75% attendance to stay on track.', 'Practice past papers and revise weak topics regularly.']",Strong
80.6,95.1,8.6,Strong,Unknown,Unknown,Strong,98.0,0.0,87.48,"{'Weak': 0.0, 'Average': 2.0, 'Strong': 98.0}","{'attendance_contribution': 32.24, 'test_score_contribution': 38.04, 'assignment_submitted_contribution': 17.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (8/10).']",[],['Performing well across all areas — maintain consistency!'],Strong
62.0,68.8,7.7,Strong,Unknown,Unknown,Strong,91.9,0.1,67.72,"{'Weak': 0.1, 'Average': 8.0, 'Strong': 91.9}","{'attendance_contribution': 24.8, 'test_score_contribution': 27.52, 'assignment_submitted_contribution': 15.4}","['Above-average test performance (65-79).', 'Good assignment submission rate (7/10).']",['Below-target attendance (60-74%).'],['Aim for >=75% attendance to stay on track.'],Strong
65.0,99.5,9.5,Strong,Unknown,Unknown,Strong,99.2,0.0,84.8,"{'Weak': 0.0, 'Average': 0.8, 'Strong': 99.2}","{'attendance_contribution': 26.0, 'test_score_contribution': 39.8, 'assignment_submitted_contribution': 19.0}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",['Below-target attendance (60-74%).'],['Aim for >=75% attendance to stay on track.'],Strong
62.9,63.4,8.7,Strong,Unknown,Unknown,Strong,98.9,0.0,67.92,"{'Weak': 0.0, 'Average': 1.1, 'Strong': 98.9}","{'attendance_contribution': 25.16, 'test_score_contribution': 25.36, 'assignment_submitted_contribution': 17.4}",['Good assignment submission rate (8/10).'],"['Below-target attendance (60-74%).', 'Average test score (50-64) — needs improvement.']","['Aim for >=75% attendance to stay on track.', 'Practice past papers and revise weak topics regularly.']",Strong
68.3,84.0,7.1,Strong,Unknown,Unknown,Strong,93.4,0.0,75.12,"{'Weak': 0.0, 'Average': 6.6, 'Strong': 93.4}","{'attendance_contribution': 27.32, 'test_score_contribution': 33.6, 'assignment_submitted_contribution': 14.2}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",['Below-target attendance (60-74%).'],['Aim for >=75% attendance to stay on track.'],Strong
