attendance,test_score,assignment_submitted,label,name,batch,prediction_result,confidence,risk_percentage,performance_score,probabilities,score_breakdown,strengths,weaknesses,suggestions,category
43.4,69.4,2.2,Weak,Unknown,Unknown,Weak,94.4,94.4,49.52,"{'Weak': 94.4, 'Average': 5.5, 'Strong': 0.1}","{'attendance_contribution': 17.36, 'test_score_contribution': 27.76, 'assignment_submitted_contribution': 4.4}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
93.4,64.0,2.8,Strong,Unknown,Unknown,Strong,97.1,0.0,68.56,"{'Weak': 0.0, 'Average': 2.9, 'Strong': 97.1}","{'attendance_contribution': 37.36, 'test_score_contribution': 25.6, 'assignment_submitted_contribution': 5.6}",['Outstanding attendance (>=90%) — excellent commitment.'],"['Average test score (50-64) — needs improvement.', 'Very few assignments submitted (2/10) — critical gap.']","['Practice past papers and revise weak topics regularly.', 'Submit assignments immediately; this severely affects your overall performance.']",Strong
67.9,52.6,6.6,Average,Unknown,Unknown,Average,99.6,0.2,61.4,"{'Weak': 0.2, 'Average': 99.6, 'Strong': 0.2}","{'attendance_contribution': 27.16, 'test_score_contribution': 21.04, 'assignment_submitted_contribution': 13.2}",[],"['Below-target attendance (60-74%).', 'Average test score (50-64) — needs improvement.', 'Moderate assignment submissions (6/10) — room to improve.']","['Aim for >=75% attendance to stay on track.', 'Practice past papers and revise weak topics regularly.', 'Submit all remaining assignments; aim for >=8/10.']",Average
84.0,95.5,7.7,Strong,Unknown,Unknown,Strong,98.1,0.0,87.2,"{'Weak': 0.0, 'Average': 1.9, 'Strong': 98.1}","{'attendance_contribution': 33.6, 'test_score_contribution': 38.2, 'assignment_submitted_contribution': 15.4}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",[],['Performing well across all areas — maintain consistency!'],Strong
49.9,40.8,9.0,Average,Unknown,Unknown,Average,99.9,0.1,54.28,"{'Weak': 0.1, 'Average': 99.9, 'Strong': 0.0}","{'attendance_contribution': 19.96, 'test_score_contribution': 16.32, 'assignment_submitted_contribution': 18.0}",['Excellent assignment submission (9/10) — highly disciplined.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Average
30.5,26.0,3.4,Weak,Unknown,Unknown,Weak,96.1,96.1,29.4,"{'Weak': 96.1, 'Average': 3.8, 'Strong': 0.0}","{'attendance_contribution': 12.2, 'test_score_contribution': 10.4, 'assignment_submitted_contribution': 6.8}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
59.9,71.0,2.0,Average,Unknown,Unknown,Average,99.5,0.4,56.36,"{'Weak': 0.4, 'Average': 99.5, 'Strong': 0.2}","{'attendance_contribution': 23.96, 'test_score_contribution': 28.4, 'assignment_submitted_contribution': 4.0}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Average
15.7,86.1,9.6,Average,Unknown,Unknown,Average,99.9,0.1,59.92,"{'Weak': 0.1, 'Average': 99.9, 'Strong': 0.0}","{'attendance_contribution': 6.28, 'test_score_contribution': 34.44, 'assignment_submitted_contribution': 19.2}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Average
84.5,13.6,2.4,Weak,Unknown,Unknown,Weak,96.1,96.1,44.04,"{'Weak': 96.1, 'Average': 3.8, 'Strong': 0.0}","{'attendance_contribution': 33.8, 'test_score_contribution': 5.44, 'assignment_submitted_contribution': 4.8}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.']",Weak
66.8,50.5,2.8,Average,Unknown,Unknown,Average,99.8,0.2,52.52,"{'Weak': 0.2, 'Average': 99.8, 'Strong': 0.0}","{'attendance_contribution': 26.72, 'test_score_contribution': 20.2, 'assignment_submitted_contribution': 5.6}",[],"['Below-target attendance (60-74%).', 'Average test score (50-64) — needs improvement.', 'Very few assignments submitted (2/10) — critical gap.']","['Aim for >=75% attendance to stay on track.', 'Practice past papers and revise weak topics regularly.', 'Submit assignments immediately; this severely affects your overall performance.']",Average
78.2,90.3,3.6,Strong,Unknown,Unknown,Strong,95.5,0.0,74.6,"{'Weak': 0.0, 'Average': 4.5, 'Strong': 95.5}","{'attendance_contribution': 31.28, 'test_score_contribution': 36.12, 'assignment_submitted_contribution': 7.2}","['Good attendance (75-89%) — keep it consistent.', 'Excellent test scores (>=80) — strong conceptual grasp.']",['Low assignment submissions (3/10) — impacting overall score.'],['Prioritise assignments; create a submission schedule with deadlines.'],Strong
41.9,77.5,5.8,Average,Unknown,Unknown,Average,99.7,0.2,59.36,"{'Weak': 0.2, 'Average': 99.7, 'Strong': 0.2}","{'attendance_contribution': 16.76, 'test_score_contribution': 31.0, 'assignment_submitted_contribution': 11.6}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Submit all remaining assignments; aim for >=8/10.']",Average
97.4,99.3,9.0,Strong,Unknown,Unknown,Strong,100.0,0.0,96.68,"{'Weak': 0.0, 'Average': 0.0, 'Strong': 100.0}","{'attendance_contribution': 38.96, 'test_score_contribution': 39.72, 'assignment_submitted_contribution': 18.0}","['Outstanding attendance (>=90%) — excellent commitment.', 'Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",[],['Performing well across all areas — maintain consistency!'],Strong
90.4,57.8,7.8,Strong,Unknown,Unknown,Strong,95.9,0.0,74.88,"{'Weak': 0.0, 'Average': 4.1, 'Strong': 95.9}","{'attendance_contribution': 36.16, 'test_score_contribution': 23.12, 'assignment_submitted_contribution': 15.6}","['Outstanding attendance (>=90%) — excellent commitment.', 'Good assignment submission rate (7/10).']",['Average test score (50-64) — needs improvement.'],['Practice past papers and revise weak topics regularly.'],Strong
80.1,69.4,7.4,Average,Unknown,Unknown,Average,97.7,0.0,74.6,"{'Weak': 0.0, 'Average': 97.7, 'Strong': 2.3}","{'attendance_contribution': 32.04, 'test_score_contribution': 27.76, 'assignment_submitted_contribution': 14.8}","['Good attendance (75-89%) — keep it consistent.', 'Above-average test performance (65-79).', 'Good assignment submission rate (7/10).']",[],['Performing well across all areas — maintain consistency!'],Average
27.5,37.2,2.6,Weak,Unknown,Unknown,Weak,97.0,97.0,31.08,"{'Weak': 97.0, 'Average': 3.0, 'Strong': 0.0}","{'attendance_contribution': 11.0, 'test_score_contribution': 14.88, 'assignment_submitted_contribution': 5.2}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
52.0,95.3,4.2,Strong,Unknown,Unknown,Strong,94.8,0.1,67.32,"{'Weak': 0.1, 'Average': 5.1, 'Strong': 94.8}","{'attendance_contribution': 20.8, 'test_score_contribution': 38.12, 'assignment_submitted_contribution': 8.4}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low assignment submissions (4/10) — impacting overall score.']","['Attend every possible session immediately.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
13.9,43.0,5.3,Average,Unknown,Unknown,Average,98.8,1.2,33.36,"{'Weak': 1.2, 'Average': 98.8, 'Strong': 0.0}","{'attendance_contribution': 5.56, 'test_score_contribution': 17.2, 'assignment_submitted_contribution': 10.6}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Average
23.9,76.5,2.3,Average,Unknown,Unknown,Average,98.7,1.2,44.76,"{'Weak': 1.2, 'Average': 98.7, 'Strong': 0.0}","{'attendance_contribution': 9.56, 'test_score_contribution': 30.6, 'assignment_submitted_contribution': 4.6}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Average
71.5,46.3,3.5,Average,Unknown,Unknown,Average,99.7,0.2,54.12,"{'Weak': 0.2, 'Average': 99.7, 'Strong': 0.1}","{'attendance_contribution': 28.6, 'test_score_contribution': 18.52, 'assignment_submitted_contribution': 7.0}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
77.0,60.6,3.8,Average,Unknown,Unknown,Average,99.7,0.1,62.64,"{'Weak': 0.1, 'Average': 99.7, 'Strong': 0.2}","{'attendance_contribution': 30.8, 'test_score_contribution': 24.24, 'assignment_submitted_contribution': 7.6}",['Good attendance (75-89%) — keep it consistent.'],"['Average test score (50-64) — needs improvement.', 'Low assignment submissions (3/10) — impacting overall score.']","['Practice past papers and revise weak topics regularly.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
97.1,74.8,2.2,Strong,Unknown,Unknown,Strong,99.5,0.0,73.16,"{'Weak': 0.0, 'Average': 0.5, 'Strong': 99.5}","{'attendance_contribution': 38.84, 'test_score_contribution': 29.92, 'assignment_submitted_contribution': 4.4}","['Outstanding attendance (>=90%) — excellent commitment.', 'Above-average test performance (65-79).']",['Very few assignments submitted (2/10) — critical gap.'],['Submit assignments immediately; this severely affects your overall performance.'],Strong
39.3,55.8,6.0,Average,Unknown,Unknown,Average,99.3,0.7,50.04,"{'Weak': 0.7, 'Average': 99.3, 'Strong': 0.1}","{'attendance_contribution': 15.72, 'test_score_contribution': 22.32, 'assignment_submitted_contribution': 12.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Average test score (50-64) — needs improvement.', 'Moderate assignment submissions (6/10) — room to improve.']","['Attend every possible session immediately.', 'Practice past papers and revise weak topics regularly.', 'Submit all remaining assignments; aim for >=8/10.']",Average
43.3,91.6,7.4,Strong,Unknown,Unknown,Strong,93.4,0.1,68.76,"{'Weak': 0.1, 'Average': 6.5, 'Strong': 93.4}","{'attendance_contribution': 17.32, 'test_score_contribution': 36.64, 'assignment_submitted_contribution': 14.8}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Strong
52.3,47.7,1.6,Weak,Unknown,Unknown,Weak,95.1,95.1,43.2,"{'Weak': 95.1, 'Average': 4.8, 'Strong': 0.0}","{'attendance_contribution': 20.92, 'test_score_contribution': 19.08, 'assignment_submitted_contribution': 3.2}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Very few assignments submitted (1/10) — critical gap.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit assignments immediately; this severely affects your overall performance.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
27.1,68.2,5.3,Average,Unknown,Unknown,Average,99.3,0.6,48.72,"{'Weak': 0.6, 'Average': 99.3, 'Strong': 0.1}","{'attendance_contribution': 10.84, 'test_score_contribution': 27.28, 'assignment_submitted_contribution': 10.6}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Submit all remaining assignments; aim for >=8/10.']",Average
21.7,40.8,8.0,Average,Unknown,Unknown,Average,99.8,0.2,41.0,"{'Weak': 0.2, 'Average': 99.8, 'Strong': 0.0}","{'attendance_contribution': 8.68, 'test_score_contribution': 16.32, 'assignment_submitted_contribution': 16.0}",['Good assignment submission rate (8/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Average
52.8,46.7,7.7,Average,Unknown,Unknown,Average,99.7,0.3,55.2,"{'Weak': 0.3, 'Average': 99.7, 'Strong': 0.0}","{'attendance_contribution': 21.12, 'test_score_contribution': 18.68, 'assignment_submitted_contribution': 15.4}",['Good assignment submission rate (7/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Average
30.4,49.6,8.3,Average,Unknown,Unknown,Average,99.9,0.1,48.6,"{'Weak': 0.1, 'Average': 99.9, 'Strong': 0.0}","{'attendance_contribution': 12.16, 'test_score_contribution': 19.84, 'assignment_submitted_contribution': 16.6}",['Good assignment submission rate (8/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Average
70.3,21.3,5.0,Average,Unknown,Unknown,Average,99.5,0.5,46.64,"{'Weak': 0.5, 'Average': 99.5, 'Strong': 0.0}","{'attendance_contribution': 28.12, 'test_score_contribution': 8.52, 'assignment_submitted_contribution': 10.0}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Average
49.3,18.3,8.4,Average,Unknown,Unknown,Average,97.8,2.2,43.84,"{'Weak': 2.2, 'Average': 97.8, 'Strong': 0.0}","{'attendance_contribution': 19.72, 'test_score_contribution': 7.32, 'assignment_submitted_contribution': 16.8}",['Good assignment submission rate (8/10).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.']",Average
84.9,70.1,3.2,Average,Unknown,Unknown,Average,97.9,0.1,68.4,"{'Weak': 0.1, 'Average': 97.9, 'Strong': 2.0}","{'attendance_contribution': 33.96, 'test_score_contribution': 28.04, 'assignment_submitted_contribution': 6.4}","['Good attendance (75-89%) — keep it consistent.', 'Above-average test performance (65-79).']",['Low assignment submissions (3/10) — impacting overall score.'],['Prioritise assignments; create a submission schedule with deadlines.'],Average
73.0,69.0,4.2,Average,Unknown,Unknown,Average,97.9,0.0,65.2,"{'Weak': 0.0, 'Average': 97.9, 'Strong': 2.0}","{'attendance_contribution': 29.2, 'test_score_contribution': 27.6, 'assignment_submitted_contribution': 8.4}",['Above-average test performance (65-79).'],"['Below-target attendance (60-74%).', 'Low assignment submissions (4/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
38.1,69.7,2.6,Average,Unknown,Unknown,Average,98.5,1.5,48.32,"{'Weak': 1.5, 'Average': 98.5, 'Strong': 0.1}","{'attendance_contribution': 15.24, 'test_score_contribution': 27.88, 'assignment_submitted_contribution': 5.2}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Average
84.9,11.8,5.2,Average,Unknown,Unknown,Average,99.8,0.1,49.08,"{'Weak': 0.1, 'Average': 99.8, 'Strong': 0.1}","{'attendance_contribution': 33.96, 'test_score_contribution': 4.72, 'assignment_submitted_contribution': 10.4}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Average
82.4,39.4,4.5,Average,Unknown,Unknown,Average,99.9,0.1,57.72,"{'Weak': 0.1, 'Average': 99.9, 'Strong': 0.1}","{'attendance_contribution': 32.96, 'test_score_contribution': 15.76, 'assignment_submitted_contribution': 9.0}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (4/10) — impacting overall score.']","['Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
44.9,27.8,3.2,Average,Unknown,Unknown,Average,99.9,0.1,35.48,"{'Weak': 0.1, 'Average': 99.9, 'Strong': 0.0}","{'attendance_contribution': 17.96, 'test_score_contribution': 11.12, 'assignment_submitted_contribution': 6.4}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Average
35.9,80.0,7.8,Average,Unknown,Unknown,Average,99.7,0.0,61.96,"{'Weak': 0.0, 'Average': 99.7, 'Strong': 0.3}","{'attendance_contribution': 14.36, 'test_score_contribution': 32.0, 'assignment_submitted_contribution': 15.6}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Good assignment submission rate (7/10).']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Average
71.4,87.5,3.8,Strong,Unknown,Unknown,Strong,95.8,0.0,71.16,"{'Weak': 0.0, 'Average': 4.2, 'Strong': 95.8}","{'attendance_contribution': 28.56, 'test_score_contribution': 35.0, 'assignment_submitted_contribution': 7.6}",['Excellent test scores (>=80) — strong conceptual grasp.'],"['Below-target attendance (60-74%).', 'Low assignment submissions (3/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Prioritise assignments; create a submission schedule with deadlines.']",Strong
22.6,32.2,3.5,Weak,Unknown,Unknown,Weak,95.3,95.3,28.92,"{'Weak': 95.3, 'Average': 4.7, 'Strong': 0.0}","{'attendance_contribution': 9.04, 'test_score_contribution': 12.88, 'assignment_submitted_contribution': 7.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.', 'All three core areas need urgent attention — consider speaking with an advisor.']",Weak
28.0,70.1,2.2,Average,Unknown,Unknown,Average,96.8,3.2,43.64,"{'Weak': 3.2, 'Average': 96.8, 'Strong': 0.0}","{'attendance_contribution': 11.2, 'test_score_contribution': 28.04, 'assignment_submitted_contribution': 4.4}",['Above-average test performance (65-79).'],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Very few assignments submitted (2/10) — critical gap.']","['Attend every possible session immediately.', 'Submit assignments immediately; this severely affects your overall performance.']",Average
10.7,21.6,5.0,Weak,Unknown,Unknown,Weak,99.2,99.2,22.92,"{'Weak': 99.2, 'Average': 0.8, 'Strong': 0.0}","{'attendance_contribution': 4.28, 'test_score_contribution': 8.64, 'assignment_submitted_contribution': 10.0}",[],"['Critical attendance deficit (<60%) — high risk of falling behind.', 'Low test score (<50) — significant knowledge gaps.', 'Moderate assignment submissions (5/10) — room to improve.']","['Attend every possible session immediately.', 'Revisit core concepts; consider seeking tutoring support.', 'Submit all remaining assignments; aim for >=8/10.']",Weak
80.8,34.8,3.7,Average,Unknown,Unknown,Average,99.3,0.6,53.64,"{'Weak': 0.6, 'Average': 99.3, 'Strong': 0.1}","{'attendance_contribution': 32.32, 'test_score_contribution': 13.92, 'assignment_submitted_contribution': 7.4}",['Good attendance (75-89%) — keep it consistent.'],"['Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
69.8,22.5,4.3,Average,Unknown,Unknown,Average,99.8,0.2,45.52,"{'Weak': 0.2, 'Average': 99.8, 'Strong': 0.0}","{'attendance_contribution': 27.92, 'test_score_contribution': 9.0, 'assignment_submitted_contribution': 8.6}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (4/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Average
73.5,35.5,3.1,Weak,Unknown,Unknown,Weak,89.9,89.9,49.8,"{'Weak': 89.9, 'Average': 10.1, 'Strong': 0.0}","{'attendance_contribution': 29.4, 'test_score_contribution': 14.2, 'assignment_submitted_contribution': 6.2}",[],"['Below-target attendance (60-74%).', 'Low test score (<50) — significant knowledge gaps.', 'Low assignment submissions (3/10) — impacting overall score.']","['Aim for >=75% attendance to stay on track.', 'Revisit core concepts; consider seeking tutoring support.', 'Prioritise assignments; create a submission schedule with deadlines.']",Weak
80.3,70.7,7.9,Average,Unknown,Unknown,Average,98.7,0.0,76.2,"{'Weak': 0.0, 'Average': 98.7, 'Strong': 1.3}","{'attendance_contribution': 32.12, 'test_score_contribution': 28.28, 'assignment_submitted_contribution': 15.8}","['Good attendance (75-89%) — keep it consistent.', 'Above-average test performance (65-79).', 'Good assignment submission rate (7/10).']",[],['Performing well across all areas — maintain consistency!'],Average
51.3,91.9,9.4,Average,Unknown,Unknown,Average,99.4,0.0,76.08,"{'Weak': 0.0, 'Average': 99.4, 'Strong': 0.6}","{'attendance_contribution': 20.52, 'test_score_contribution': 36.76, 'assignment_submitted_contribution': 18.8}","['Excellent test scores (>=80) — strong conceptual grasp.', 'Excellent assignment submission (9/10) — highly disciplined.']",['Critical attendance deficit (<60%) — high risk of falling behind.'],['Attend every possible session immediately.'],Average
